words,sentiment_coeff
governo_bolsonaro,0.9985011656872691
permanecer,0.9875776655793186
"irresponsável,",-1.0116468543938668
povo,-1.013848566794565
paga,-1.006165534825257
vida,-1.0078655287726908
#covid…,1.0285018049374155
faça,-1.0314004143668092
fronteiras,1.01434814080411
"manaus,",1.0221860031529995
maio,0.9809475035298955
2020,-0.9657397389528517
reportagem,-0.9779691076310654
sobre,0.9897147777659471
colapso,0.9547424349874398
sus,0.9865059594534409
@veja,-1.0167808841618209
dessa,-1.0058785739436327
"semana,",0.9740980897519034
mostra,0.9855448952573077
situação,-0.9714682914983269
pacientes,1.0229482239754357
em…,0.9833540222221899
amém,-1.0893259777950735
#staysafe,1.0647158474915936
#coronavírus,0.9990301330919382
problema,-1.011689161052734
advogado,-1.0401103584152738
detém,1.0171639732116555
condição,-1.0143032135882404
econômica,1.0103045837994633
boa,-1.0155236498738474
notícia!,1.012743107684498
vacina,-1.0224939294390925
eua,0.956654863455145
começa,-0.9753717531710421
ter,-0.9936838066295397
resultados,0.9990099246984893
promissores,1.0271715049964012
#corona,1.0280953539268847
#vacina…,1.1104633344320032
médico,-0.9856975247358924
alerta,0.9930318966301555
riscos,1.0077355171339821
hipertensão,1.0323700261266588
arterial,1.0336163269001781
novo_coronavírus,0.9779605029282612
andar,-1.0148022521284275
pode_ser,-0.9847089035054861
melhor,-1.0080496179169236
lembrança,1.0290496337334734
@flamengo,-1.076548316122382
"dúvidas,",-1.0537101234286075
imagem,-1.0243741514733955
fazendo,-1.0101572825596914
lixo,-1.0302554620257438
do…,0.9751177585038371
vídeo,-1.0000978077438374
dessa_vez,-1.0314117577172848
tema,1.0170392028390065
população,-0.9601993431530513
rua,-0.9963010063019158
hotelaria,1.0745106735555066
galiza,0.982282693101255
portugueses,0.992719579566993
façam,-1.0395206985781442
teste_rápido,1.008846847416043
#economia,1.0505919536604555
#galiza,1.1706217869367763
tamanho,-0.9833446487076495
grupo_risco,-0.9922955575612104
brasil?,-1.0169710482247154
pesquisadores,1.0248901717498755
tentam,0.9914502350194695
esclarecer,1.0019413506758779
quest…,1.0423311216188573
articulação,1.0266864126524284
povos_indígenas,1.031243793601286
apib,1.103001780943999
|,1.0524760018654298
18/05/2020,1.1056855325565575
resumo,0.9913300686775405
casos,1.0037623137374185
registrados,1.034896603673442
comitê,1.0482797881738215
nacional,1.0064553511968646
pela…,1.0215956284160772
governo_estado,1.0434030139128547
garantiu,1.049170045930368
entrega,1.0485355718655434
29,1.0022475169116785
respiradores,1.0327698799730545
abertura,0.9908148078704928
novos_leitos,1.0486423518577066
uti,0.9641391428413937
pacientes…,1.0663116330555904
partilho,-1.0699146020977166
opinião,-1.0282815714302058
dei,-1.042393721239163
algumas,-0.9686319854313362
semanas,-0.9643440696914165
revista,1.0333351249893106
"🇧🇷,",1.0091774468817973
rapaziada,-1.0459503418893392
fiquem,-1.0099373278882313
existem,-0.9835195878016357
umas,-0.9919174903686554
minas,0.9954449269024813
tipo,-1.033366085484782
"#covid,",0.9793550017357444
"você,",-1.0621161377626167
5,0.9645870453948644
casos_confirmados,1.0111753162182764
2,0.9610280775596914
amigos,-1.0102263114746266
suspeitos,1.0400586906289615
cara,-1.0395792593945725
deseja,-1.0371488209502528
estabilidade,0.975337603489381
financeira,1.0016141841551984
liberdade,-1.0137879260655793
geográfica,1.1269095629959334
poder,-1.0145319923007294
trabalhar,-1.0044862601803506
conforto,-1.0387315710759277
casa,-0.99582754889636
voc…,-1.0244230432601518
esqueça,-1.0561272038715612
"passado,",-0.9853129021135806
perdoe,-1.0846899030528063
#meditation,-1.0734513603256635
#nostress,1.0879292052462397
#focus,1.0970065705145398
saiba,1.0101175462776484
pagamento,1.0307687915881723
segunda,0.9791401480262241
parcela,0.996322126931965
auxílio_emergencial,1.0204755803938503
assistindo,-1.0510685407755374
programa,1.0017227536601823
complet…,1.0599017558215764
contato,-0.9747182780268283
control,-1.0788349498644103
conheça,1.0385963736753123
melhores,-0.973471036242751
prevenção,1.018799424172438
colaboradores,1.05244602140798
empresa,0.9707421352933664
garanta,1.0803423609021072
saúde…,1.0424446769426323
falta,-0.9839783800280842
próximas,-0.9737398916586762
eleições,0.9983973557219573
vejo,-1.0457204076155835
hora!,1.0018937861692114
#presidente,-1.074057333277645
#vacinabrasil,1.0843638814646002
#socorro,1.1860987822500473
preocupa,-0.9896573654303521
pode,-0.997850567251361
acontecer,-1.005612179532881
poderia,-1.0053664354940268
"acontecido,",-1.0223031454299012
perde,-0.9931558443343974
acontecendo,-1.0073845215581765
agora…,-0.9573925593717303
tentativas,1.0405060087927993
prefeitura,1.0048780226262226
paulo,0.9821149574583159
pra,-1.0476674377830795
aumentar,0.955471419157859
conseguiram,-0.9763073549523611
oposto,-0.9856981024152754
preciso,-1.0209758460907037
planej…,-1.0807789465337674
esperança,-0.9959764449434233
haverá,-0.983269535933156
🔥,-1.0581702400192525
#quarentena,-1.0023175888255214
#vamosvencerjuntos,1.1008770451019985
maioria,-0.9619940522456681
anticorpos,0.968723774864723
contra,-1.0087013391088486
declaração,0.9950124877244975
diretorgeral,1.0140513087157514
tedros,1.043792531043527
q,-1.0468117362799971
absurdo,-1.009060766327131
nunca,-1.0151131959121769
tido,-1.005776671321232
quarentena,-0.9933746024836523
d,-0.9827465166441268
verdade,-1.0272603026924148
pedindo,-1.0128398887275702
pr…,-0.9807424363474262
comunidades,1.0365654774028437
indígenas,1.027919765976472
#onu,1.2106269266744254
#internacional,1.0860008277062172
estragando,-1.0448370894433503
tudo!,-1.0531077112335476
espero,-1.0394100730254672
use,-1.0468258330981208
repensar,-1.0001075560649175
se…,-0.9853108557345943
riqueza,1.033458014953677
maior,0.960107924590296
neste,0.9906871642637247
mundo,-0.9687985681088869
paz,-1.031091921959205
espírito,-1.0114400084666166
idosa,1.0001880666821314
ganha,1.0075088277658197
festa,-1.0008482571377315
82,0.9938301414437676
dentro,-0.9813803398037613
carro,-1.0181049820174168
praça,0.991315311393508
covid,-0.9385713629310312
#sonoticiaboa,1.0547719137365466
#goodnews…,1.1158466564434335
#fiqueemcasa,0.9896597199063762
rio_janeiro,0.988225575157404
85%,1.041257642292011
leitos_uti,1.0088017572777073
ocupados,1.0133634141571606
internados,1.0187143425731187
suspeita…,1.1376265764847873
km,0.9899923211006744
cargo,-0.9696805937325637
vêm,-0.993474005179094
trabalhando,-0.9904592302981795
transporte,1.053215743668331
medicamentos,1.0061015828326252
relacionado,1.0079375592307698
frota,1.0475357506978995
caminhões,1.0445310876167753
e…,-0.9599006651544443
preocupe,-1.0386310981414555
pensamentos,-1.0186287803899916
durante,0.9742098851916322
apenas,0.9532473899851548
observe,-1.0584877670512962
entenda,0.9757096217164178
si,-1.0421322030692064
diminui,0.9821765422894242
estoque,-0.9831315587473126
leite,0.9951373380491945
df,0.9762689572232834
mês,-0.941601397357444
abril,0.973158098282846
fechou,-0.9860238253333707
déficit,1.0278143228427747
11%,1.051399776239115
@secsaudedf,1.0978095485860946
➡️…,1.0357178198286356
#sp1,-1.0354438371923358
@cesartralli,-1.0710282575194974
